[ 16-06-2021 13:09:37 ] - Teste
[ 16-06-2021 13:09:38 ] - Teste
[ 16-06-2021 13:13:48 ] - Login efetuado pelo usuário DPOATJ1\l.esantos
[ 16-06-2021 13:13:48 ] - Teste
[ 16-06-2021 13:15:41 ] - Teste IP: 172.19.0.1
[ 16-06-2021 13:15:58 ] - Teste | IP: 172.19.0.1
[ 17-06-2021 17:57:28 ] - Ticket 28167 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 17-06-2021 17:57:29 ] - Ticket 188952 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 17-06-2021 17:57:31 ] - Ticket 177588 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 17-06-2021 17:57:31 ] - Ticket  finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 17-06-2021 17:57:32 ] - Ticket  finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 17-06-2021 17:58:07 ] - Token Gerado com sucesso pela rotina: UpdateStatus | IP: 172.19.0.1
[ 17-06-2021 17:58:08 ] - Ticket  finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 17-06-2021 17:58:08 ] - Ticket  finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 17-06-2021 18:01:37 ] - Login efetuado pelo usuário DPOATJ1\l.esantos | IP: 172.19.0.1
[ 17-06-2021 18:01:47 ] - Token Gerado com sucesso pela rotina: UpdateStatus | IP: 172.19.0.1
[ 17-06-2021 18:01:48 ] - Ticket  finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 17-06-2021 18:01:48 ] - Ticket  finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 17-06-2021 18:31:43 ] - Login efetuado pelo usuário DPOATJ1\l.esantos | IP: 172.19.0.1
[ 17-06-2021 19:57:21 ] - Login efetuado pelo usuário DPOATJ1\l.esantos | IP: 172.19.0.1
[ 17-06-2021 19:58:55 ] - Login efetuado pelo usuário DPOATJ1\l.esantos | IP: 172.19.0.1
[ 17-06-2021 20:04:03 ] - Login efetuado pelo usuário DPOATJ1\l.esantos | IP: 172.19.0.1
[ 17-06-2021 20:09:45 ] - Login efetuado pelo usuário DPOATJ1\l.esantos | IP: 172.19.0.1
[ 17-06-2021 20:56:38 ] - Login efetuado pelo usuário DPOATJ1\l.esantos | IP: 172.19.0.1
